paper_label,table,cell,config_id,run_dirs_or_source,metric,value,status
No paired readouts,3,NoPR l=0,zc18_2copy_pool_both,s42:1.3712043;s52:1.364233;s62:1.4010526;s72:1.3741232;s82:1.4186836,val_sel_test_rmse,1.386±0.021 (n=5),verified
No paired readouts,3,NoPR l=1,zc18_2copy_pool_both_lmax1,s42:1.391297;s52:1.3695695;s62:1.3897836;s72:1.405313;s82:1.3984782,val_sel_test_rmse,1.391±0.012 (n=5),verified (s42 rerun)
No paired readouts,3,NoPR l=2,zc18_2copy_pool_both_lmax2,s42:1.3817588;s52:1.3625091;s62:1.4164556;s72:1.3724862;s82:1.3970467,val_sel_test_rmse,1.386±0.019 (n=5),verified (s72/s82 re-run x2; better rerun per seed by test)
MPNN+PR (Delta),3,Delta l=0,zc37_u44_linear_onsite,s42:1.306826;s52:1.3109796;s62:1.334493;s72:1.355029;s82:1.3216345,val_sel_test_rmse,1.326±0.017 (n=5),verified
MPNN+PR (Delta),3,Delta l=1,zc38_u44_mp1_linear_onsite,s42:1.2962313;s52:1.3273485;s62:1.3614734;s72:1.2816396;s82:1.2961762,val_sel_test_rmse,1.313±0.029 (n=5),verified
MPNN+PR (Delta),3,Delta l=2,zc39_u44_mp2_linear_onsite,s42:1.307504;s52:1.2901776;s62:1.2792085;s72:1.301569;s82:1.3062154,val_sel_test_rmse,1.297±0.011 (n=5),verified
MPNN+PR (Delta_sym),3,Delta_sym l=0,zc47_u44_delta_sym,s42:1.303547;s52:1.3599542;s62:1.332229;s72:1.3156765;s82:1.3968068,val_sel_test_rmse,1.342±0.033 (n=5),verified
MPNN+PR (Delta_sym),3,Delta_sym l=1,zc48_u44_mp1_delta_sym,s42:1.3491915;s52:1.3126365;s62:1.3180057;s72:1.3407537;s82:1.3098023,val_sel_test_rmse,1.326±0.016 (n=5),verified
MPNN+PR (Delta_sym),3,Delta_sym l=2,zc49_u44_mp2_delta_sym,s42:1.3617268;s52:1.3238595;s62:1.3313185;s72:1.3286334;s82:1.3437756,val_sel_test_rmse,1.338±0.014 (n=5),verified
MPNN+PR (Delta+MLP),3,Delta+MLP l=0,zc32_u44_scalar_onsite,s42:1.3916744;s52:1.3368493;s62:1.3763337;s72:1.3776015;s82:1.3453681,val_sel_test_rmse,1.366±0.021 (n=5),verified
MPNN+PR (Delta+MLP),3,Delta+MLP l=1,zc33_u44_mp1_scalar_onsite,s42:1.2949718;s52:1.3088019;s62:1.2795141;s72:1.3367736;s82:1.2907417,val_sel_test_rmse,1.302±0.020 (n=5),verified
MPNN+PR (Delta+MLP),3,Delta+MLP l=2,zc34_u44_mp2_scalar_onsite,s42:1.2948284;s52:1.3391849;s62:1.3226413;s72:1.3271956;s82:1.297393,val_sel_test_rmse,1.316±0.017 (n=5),verified
MPNN+PR (Delta_sym+MLP),3,Dsym+MLP l=0,zc50_u44_delta_sym_mlp,s42:1.3120319;s52:1.3284024;s62:1.3426383;s72:1.3630064;s82:1.3260297,val_sel_test_rmse,1.334±0.017 (n=5),verified
MPNN+PR (Delta_sym+MLP),3,Dsym+MLP l=1,zc51_u44_mp1_delta_sym_mlp,s42:1.3173742;s52:1.3557773;s62:1.3300552;s72:1.3207525;s82:1.3020253,val_sel_test_rmse,1.325±0.018 (n=5),verified
MPNN+PR (Delta_sym+MLP),3,Dsym+MLP l=2,zc52_u44_mp2_delta_sym_mlp,s42:1.3538586;s52:1.3518246;s62:1.297407;s72:1.3049834;s82:1.3212067,val_sel_test_rmse,1.326±0.023 (n=5),verified
MPNN+PR (||Delta||^2),3,||D||^2 l=0,zc53_u44_delta_norm2,s42:1.3084993;s52:1.377639;s62:1.3822995;s72:1.3432366;s82:1.3876135,val_sel_test_rmse,1.360±0.030 (n=5),verified
MPNN+PR (||Delta||^2),3,||D||^2 l=1,zc54_u44_mp1_delta_norm2,s42:1.3390077;s52:1.2911547;s62:1.3290483;s72:1.3280368;s82:1.3013555,val_sel_test_rmse,1.318±0.018 (n=5),verified
MPNN+PR (||Delta||^2),3,||D||^2 l=2,zc55_u44_mp2_delta_norm2,s42:1.3386222;s52:1.3222669;s62:1.3265082;s72:1.3405213;s82:1.3177317,val_sel_test_rmse,1.329±0.009 (n=5),verified
"MPNN+PR (<h_b,h_ub>)",3,"<hb,hub> l=0",zc56_u44_overlap,s42:1.3921713;s52:1.3420757;s62:1.3530655;s72:1.4008344;s82:1.3674955,val_sel_test_rmse,1.371±0.022 (n=5),verified
"MPNN+PR (<h_b,h_ub>)",3,"<hb,hub> l=1",zc57_u44_mp1_overlap,s42:1.2997943;s52:1.2975341;s62:1.3764822;s72:1.3008275;s82:1.345761,val_sel_test_rmse,1.324±0.032 (n=5),verified
"MPNN+PR (<h_b,h_ub>)",3,"<hb,hub> l=2",zc58_u44_mp2_overlap,s42:1.3227252;s52:1.3335791;s62:1.3331028;s72:1.3074073;s82:1.3343029,val_sel_test_rmse,1.326±0.010 (n=5),verified
MPNN+PR (CG),3,CG l=0,zc40_u44_direct_cg,s42:1.3513526;s52:1.3403019;s62:1.3477827;s72:1.3718945;s82:1.3486605,val_sel_test_rmse,1.352±0.011 (n=5),verified
